,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Malagasy random,-0.7081509955597853,1.7258281937719332e-05,-0.45734396212214157,0.0,-0.6657692909587691,2.9176045869369875e-08,-0.7245150246071144,3.04438515889312e-14,0.6350026504996974,0.5254266863434722
Latvian random,-0.787549275454943,0.00010450976015730785,-0.3585215047855433,0.0,-0.5058311009015718,0.003142023087669417,-0.5133560249660558,0.00098043098690002,0.04047954393563901,0.967710815247385
Uma random,-0.7608859102526822,9.80194262437067e-05,-0.4323000014927874,0.0,-0.6865541098466844,2.6689987814285435e-08,-0.8494580204611432,2.3263237396406277e-23,2.2446331498677567,0.024791692823037392
Shuar random,-0.7375177837257835,1.7171063474284055e-05,-0.2255875308544053,0.0,-0.6621605192108894,0.00012393668444936787,-0.4640414225263037,0.006523767106324102,1.0864120872273628,0.277296716266221
Wolof random,-0.8395536678480481,1.3175276826489147e-05,-0.4417325545512014,0.0,-0.21590234092733326,0.13624086709962052,-0.14221077319988037,0.29130830360030335,0.37964338997117664,0.7042101474740694
Ewe random,-0.7608859102526822,9.80194262437067e-05,-0.41650082325045923,0.0,-0.1854617154916056,0.1752191213212278,-0.8937593571131223,4.483887572632986e-26,6.821365173612993,9.017897539820297e-12
Creole random,-0.8864052604279182,1.0785513887838022e-05,-0.610978943640654,0.0,-0.496692339137115,3.4662292715360896e-05,-0.8668521606818289,2.981631321027607e-29,4.652212980367768,3.283916430341094e-06
Tagalog random,-0.7960960269823281,1.5858962129081873e-05,-0.4066184433358334,0.0,-0.4285112832908667,0.0006359723461852499,0.11188425764460612,0.3529198149109095,3.176409255653311,0.0014911043115419798
Kabyle random,-0.7608859102526822,9.80194262437067e-05,-0.4054795100005047,0.0,-0.6404545603179242,3.4148703125278005e-05,-0.8339129891879814,2.8962010200221035e-20,2.0754541527486965,0.03794446377603711
Serbian random,-0.8224783208299743,9.187010781272152e-05,-0.3759644061341542,0.0,-0.4567607623212043,0.003049372494661358,-0.8866332138170039,2.018951587368628e-21,4.338153109598871,1.4368504710926544e-05
Mam random,-0.8111071056538126,1.431979035920437e-05,-0.35249978728576375,0.0,-0.4567607623212043,0.003049372494661358,-0.9007526360523801,3.91566418759324e-24,4.717364407423865,2.389195281171652e-06
Cabecar random,-0.7751626880742236,9.687219691882218e-05,-0.45285104268116605,0.0,-0.48878889641701273,0.0005674580614279878,-0.8978228525017234,3.764825701658829e-29,4.854790978001099,1.205137919457755e-06
Swahili random,-0.8055452283579009,1.8193628209188605e-05,-0.2871092219979007,0.0,-0.5670309199427515,0.0005800345830818232,-0.6347351563275759,1.8688403171888156e-05,0.42672034182354623,0.6695830324964918
Lithuanian random,-0.721973032244652,0.00010054032247713531,-0.32108549653078944,0.0,-0.5484640683076686,0.0007840555729334323,-0.9058028150190442,2.1453354897202515e-18,3.784613588663165,0.00015394758366715777
Norwegian random,-0.7977240352174656,1.4796915405948722e-05,-0.600836162930001,0.0,-0.42804837176691796,0.003001849403684414,-0.9058205792985633,1.4415108663890473e-28,5.41423935854319,6.154978637873398e-08
