,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Romani,-0.9941176470588234,6.4339974884469385e-15,-0.31316188773913417,8.250012217948413e-162,-0.3416383874033864,3.854573558215266e-05,-0.6155357882517856,3.7694066632001893e-32,3.4854176064957394,0.0004913695223858205
Wolaytta,-0.9558233190795935,2.908304574668558e-14,-0.32012294518623224,0.0,-0.3715303380524662,4.0231952832322905e-05,-0.5769054992594191,1.8909366250091948e-21,2.3175654162426897,0.020472951576798293
German,-0.8948051948051948,4.4250104531437685e-08,-0.336076397132469,8.541646320368353e-234,-0.43645822200215917,2.9031777403750614e-07,-0.6990247167237833,6.474383375400322e-41,3.6581613799136155,0.0002540310829932668
Latvian,-0.8112745098039217,7.738036180608982e-05,-0.27895899777348326,7.764652525922394e-278,-0.5456551741487952,1.749591021766246e-09,-0.7056600517543675,2.0744576486832282e-33,2.206603282425079,0.027341787448374344
Greek,-0.9912236736529192,1.7217148515872184e-15,-0.33947663265440475,0.0,-0.31765486538430954,0.00043112139113144166,-0.7241056344954171,1.722874640545603e-38,5.140981194874733,2.7330741048103846e-07
Spanish,-0.9752321981424149,6.588737187082592e-12,-0.29799236414276853,1.2270710221185294e-229,-0.3028730083378574,0.0006281289117128322,-0.6425463582170019,1.9297978235801595e-31,4.074802271362544,4.605345986141707e-05
Aukan,-0.9930069930069931,1.3016730560634403e-10,-0.33346302866741223,6.186475693673564e-52,-0.247663176029272,0.004658326499782514,-0.5533029940916367,6.696680276755338e-29,3.549579597657204,0.0003858467974513502
French,-0.9649122807017543,1.0347287642285863e-10,-0.30517660026673743,6.964431322596464e-235,-0.3374668730529351,9.801329461974684e-05,-0.690634695562424,6.85620571571029e-39,4.580624816623386,4.635888421367085e-06
Norwegian,-0.9338345864661652,1.8126865423587107e-09,-0.3178291791495052,1.043232829326967e-177,-0.4643426546181671,2.6250727361421706e-08,-0.6902688977058523,4.062110070506202e-39,3.200619217759129,0.0013713262598054055
Serbian,-0.9705882352941176,4.723401127287032e-10,-0.309749495209466,1.4574461840455306e-284,-0.4483194444214903,2.513306497848615e-07,-0.7747534888959329,2.736071362413671e-46,4.823454050642861,1.410932823908695e-06
Cabecar,-0.8039215686274511,0.0001007394030010668,-0.3151443436034414,5.534476113054399e-181,-0.4136822029652502,3.2204775214845253e-06,-0.6274744055245544,2.830589107971286e-32,2.681901323297534,0.00732050494050096
