,QtyOfTokens,StrLen_1,StrLen_2,StrLen_3,StrLen_4,StrLen_5,StrLen_6,StrLen_7,StrLen_8,StrLen_9,StrLen_10,StrLen_11,StrLen_12,StrLen_13,StrLen_14,StrLen_15,StrLen_16,StrLen_17,StrLen_18,StrLen_19,StrLen_20,StrLen_21,StrLen_22,StrLen_23,StrLen_24,StrLen_25,StrLen_26,StrLen_27,StrLen_28,StrLen_29,StrLen_30,StrLen_31,StrLen_32,StrLen_33,StrLen_34,StrLen_35
Slovak,143477.0,16623.0,22664.0,20042.0,17943.0,19969.0,15596.0,12741.0,7561.0,4551.0,3123.0,1308.0,601.0,434.0,170.0,94.0,47.0,8.0,1.0,,,1.0,,,,,,,,,,,,,,
Slovene,148773.0,6362.0,44127.0,15886.0,17789.0,20525.0,15566.0,11621.0,7440.0,4234.0,3005.0,1262.0,585.0,200.0,93.0,31.0,19.0,10.0,5.0,5.0,1.0,3.0,4.0,,,,,,,,,,,,,
Barasana,224670.0,8938.0,21389.0,22502.0,37490.0,24120.0,38623.0,14485.0,15716.0,9376.0,7444.0,6397.0,5269.0,4046.0,2628.0,1928.0,1376.0,1076.0,690.0,367.0,396.0,168.0,81.0,98.0,32.0,17.0,9.0,5.0,1.0,3.0,,,,,,
Afrikaans,187993.0,2922.0,38181.0,65667.0,24192.0,20773.0,11825.0,9396.0,5546.0,4140.0,2428.0,1421.0,610.0,450.0,303.0,77.0,47.0,8.0,3.0,,1.0,2.0,1.0,,,,,,,,,,,,,
Portuguese,156979.0,19813.0,21466.0,28125.0,19043.0,20807.0,16818.0,10057.0,7959.0,4979.0,3776.0,1830.0,1330.0,588.0,261.0,105.0,18.0,,3.0,1.0,,,,,,,,,,,,,,,,
Swedish,180632.0,5092.0,22627.0,56090.0,30185.0,27217.0,15453.0,8053.0,6037.0,3723.0,2286.0,2018.0,789.0,471.0,279.0,113.0,126.0,29.0,11.0,10.0,9.0,5.0,3.0,5.0,1.0,,,,,,,,,,,
Uma,192559.0,1436.0,31002.0,32296.0,29651.0,31351.0,22415.0,14612.0,14526.0,7133.0,3742.0,1916.0,1210.0,630.0,382.0,128.0,69.0,47.0,9.0,2.0,,1.0,,,1.0,,,,,,,,,,,
Aguaruna,148528.0,22.0,4171.0,4725.0,20779.0,22453.0,23471.0,18591.0,14766.0,11532.0,10050.0,6481.0,4389.0,3003.0,1757.0,1201.0,535.0,330.0,158.0,78.0,14.0,14.0,1.0,4.0,2.0,1.0,,,,,,,,,,
Wolof,171470.0,1861.0,56410.0,27094.0,34770.0,25848.0,12628.0,6975.0,3152.0,1435.0,637.0,464.0,83.0,45.0,38.0,15.0,6.0,2.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
Camsa,194598.0,10363.0,8675.0,18637.0,13972.0,25979.0,21154.0,17296.0,12668.0,13039.0,12086.0,8847.0,9184.0,6706.0,5220.0,3927.0,2706.0,1723.0,951.0,638.0,379.0,193.0,114.0,67.0,40.0,16.0,8.0,3.0,4.0,1.0,2.0,,,,,
Swahili,139028.0,12.0,17259.0,10267.0,29621.0,21601.0,21159.0,9886.0,9433.0,6852.0,5639.0,3379.0,1805.0,1118.0,538.0,265.0,124.0,36.0,19.0,11.0,1.0,3.0,,,,,,,,,,,,,,
Romanian,170373.0,7765.0,49502.0,20235.0,26594.0,17628.0,15865.0,12090.0,9937.0,5320.0,2703.0,1554.0,759.0,317.0,82.0,12.0,9.0,1.0,,,,,,,,,,,,,,,,,,
