,Rho_Freq_StrLen,P_Freq_StrLen,Rho_StrLen_VarFreq_NOVAR0,P_StrLen_VarFreq_NOVAR0,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_StrLen_VarFreq_VAR0,P_StrLen_VarFreq_VAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Vietnamese,-0.19600063962263192,2.393759548675055e-28,-0.8545454545454546,0.0008066741521648989,-0.3688665217346743,2.15558453084101e-06,-0.2777501632029508,0.00044721373700430157,0.35476385762569596,5.518278412232016e-06,-1.0728948631979747,0.2850075925904825,-0.6747020204499813,0.00414206043386447,-0.7225433972775517,1.7127617418540997e-55,-0.1997849549041142,0.00022807851434210308,0.17829618532034425,0.0010293382999475402,-10.189773146299869,2.103863274454327e-21
Shuar,-0.2371923196698174,1.231785486581137e-290,-0.8919658119658118,9.516108806257503e-10,-0.4952112352465764,1.0502423474656985e-07,-0.5685991882598128,3.7180694352495253e-10,0.45390342271387735,1.4686497966412436e-06,0.881696506170462,0.38005532361047034,-0.7141097644539169,1.975760823416954e-05,-0.802288250334985,5.677048377043363e-51,-0.5750871297509944,7.435110666752233e-21,0.4981576636611579,2.909100961241106e-15,-5.6206059286218,5.782455322236733e-08
Camsa,-0.2857759972779507,0.0,-0.9733860226064207,8.269342624170535e-19,-0.3713784179420175,2.3473625480811276e-05,-0.5392219675944129,1.2377453944003606e-10,0.3518848992776264,6.574894011627906e-05,1.925728550724487,0.0565040895161854,-0.8129309518044716,2.757840040996626e-08,-0.7479791380431101,1.1799071208479945e-47,-0.614838304334637,2.5397582223910133e-28,0.47268885192891247,8.020414482025609e-16,-3.2958898129161156,0.001119891485012141
Uma,-0.3250793691855976,1.1774151898890697e-307,-0.9473684210526316,7.800829220458973e-10,-0.2875762974426884,0.0008273088357568456,-0.5491363170020002,9.244938526386342e-12,0.41876861894642026,5.818285162131523e-07,3.2586735960858775,0.0014311079954062729,-0.7908711277975348,2.531439423622638e-06,-0.770845952836351,2.4003788061069488e-58,-0.5994699894392306,1.1052892704662652e-29,0.5364364717479263,5.2066002689848076e-23,-4.829199393899416,2.2331156841700787e-06
Barasana,-0.30888068294454935,0.0,-0.9511427487456349,8.714597044220258e-15,-0.5342571944700888,8.314094935803588e-11,-0.5360530286620763,6.994149055291236e-11,0.6216845264755132,4.839296438690602e-15,0.02842888570600352,0.9773654244436831,-0.7855238723543756,2.721202386903146e-07,-0.7688362313212184,7.616793994219748e-59,-0.573139581278686,3.7170764872702594e-27,0.5232006482903379,3.942177573327046e-22,-5.400706584534945,1.377659858388337e-07
Hungarian,-0.27961688197806295,0.0,-0.9695087521174479,1.1054140091339578e-13,-0.4440567485193348,4.144450258865892e-06,-0.6353887143394791,1.6125585752457733e-12,0.5866608145340236,1.7595326763057547e-10,2.653229410224432,0.009330732542282458,-0.7667438761574723,7.812763012065313e-06,-0.7683264921514519,4.924167903838261e-40,-0.6347415471881922,7.748997150708428e-24,0.5118632971556335,1.1024880970196991e-14,-3.115663178261826,0.002110824291549331
Zarma,-0.3173350942814909,6.793826929509136e-99,-0.9093137254901962,4.274417714447823e-07,-0.4134382689311353,7.57055680285661e-07,-0.5920965628912892,6.091607357554225e-14,0.3810107388376164,6.056305868716003e-06,2.283713114218824,0.0240103787287404,-0.7471144816981521,6.464691944257549e-05,-0.735906593760995,5.1181744863285755e-50,-0.6935331696110514,2.4398771660774806e-42,0.4817147208625085,5.0649197204573454e-18,-1.1755227817810745,0.24077363829939302
Czech,-0.299261913644498,0.0,-0.9681372549019608,1.9909901926022065e-10,-0.2744149673414886,0.002129695269666023,-0.6839279640157232,2.820585284544897e-18,0.5716469634626529,5.000513974232049e-12,6.687443605099927,7.607994560659086e-10,-0.6573787409700722,0.0030302895427941658,-0.6966517806367105,1.7806700096250785e-36,-0.6756902114545327,1.2530790787091297e-33,0.5793570696965086,4.2876934998869825e-23,-0.5391612883974481,0.5902774587120188
Lithuanian,-0.3034940460618542,0.0,-0.983162995023326,5.50086166688544e-17,-0.37446247326320287,0.00013429815979767206,-0.6145958870545658,1.3180447410103636e-11,0.4656618078071584,1.1925004513599003e-06,2.854653751035005,0.0052791841134700755,-0.8088054690917472,5.720368274906129e-07,-0.7548386240569045,1.0713850534922961e-40,-0.735540655162787,1.0473247604897655e-37,0.6555221614095849,1.162052424589659e-27,-0.5722270103377713,0.5677773574494318
Uspanteco,-0.3140948947276946,5.76737086344244e-196,-0.981424148606811,6.725639702470495e-13,-0.28649953682807927,0.0005470117631693352,-0.4711178595855648,3.27551950643358e-09,0.28238862195500963,0.0006619399423023942,2.0560609195344637,0.04164775293976112,-0.8002368284652853,2.6742592006852024e-06,-0.7566536029225619,1.5729503310722651e-59,-0.45696439413275597,1.3206585778367014e-17,0.3879909579593065,1.010991559062013e-12,-7.157738667884729,5.935275122599299e-12
