,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_VarStrLen,P_Freq_VarStrLen
Tagalog,-0.48813986370843765,2.521298059257901e-09,-0.9503759398496241,1.4466901765702984e-10
Malagasy,-0.28476915273092324,0.0021345906970988856,-0.8746579091406678,1.1669110560877575e-09
Achuar,-0.49741605534884753,2.3287078217033338e-09,-0.9594861660079053,5.004227319259334e-13
Croatian,-0.3938453150309537,1.7368934463845906e-05,-0.9754901960784315,2.8428732666900954e-11
Cakchiquel,-0.33212608724519427,3.5025537422431783e-05,-0.9964912280701754,9.285165080058482e-20
Creole,-0.3197623707678316,0.00026238364785606305,-0.9678571428571429,3.5965355409315713e-09
K'iche',-0.39455729877366064,4.0558649293897755e-06,-0.9823529411764707,1.3641238342610768e-11
Hungarian,-0.4440567485193348,4.144450258865892e-06,-0.9695087521174479,1.1054140091339578e-13
Danish,-0.46327898904624243,7.726154191303731e-08,-0.9077922077922078,1.33316709163655e-08
Uspanteco,-0.28649953682807927,0.0005470117631693352,-0.981424148606811,6.725639702470495e-13
Spanish,-0.3028730083378574,0.0006281289117128322,-0.9752321981424149,6.588737187082592e-12
Polish,-0.4117971107311505,3.2726869809779866e-06,-0.9684210526315788,1.09055586677185e-11
Lukpa,-0.2889875924484995,0.0008150392103731196,-0.8147058823529412,0.00012130950572235612
Zulu,-0.2740458385517213,0.006053882025472168,-0.8941646312740126,8.935764581811212e-09
Icelandic,-0.5405414533753357,3.771240921745441e-10,-0.9285714285714285,1.2802944161833169e-09
Campa (Axininca),-0.47093183192979704,4.739096883202293e-06,-0.9805188111839815,6.651949903205786e-25
Aukan,-0.247663176029272,0.004658326499782514,-0.9930069930069931,1.3016730560634403e-10
Tachelhit,-0.495447615152723,3.314759556939198e-07,-0.9369903918368122,4.676777120382552e-11
