,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen
Esperanto,-0.32919297257159863,0.0,-0.7179706454285127,2.274364165560592e-38
Galela,-0.27333160020536057,5.273115778925212e-193,-0.5440573628881585,5.6556560636133046e-24
Amuzgo,-0.31088560154647144,5.866742163047708e-307,-0.6045365253221967,8.601618993317666e-29
Romani,-0.31316188773913417,8.250012217948413e-162,-0.6155357882517856,3.7694066632001893e-32
Ewe,-0.3289638964330776,2.111674965084205e-232,-0.6029410182488748,1.1242192260972354e-31
Xhosa,-0.3032848113686367,0.0,-0.5959152834449702,3.6174200830505354e-19
Shuar,-0.2371923196698174,1.231785486581137e-290,-0.5750871297509944,7.435110666752233e-21
Quichua,-0.28387643358283127,3.455615451958685e-274,-0.5909953886844004,5.147471558202093e-22
Greek,-0.33947663265440475,0.0,-0.7241056344954171,1.722874640545603e-38
Norwegian,-0.3178291791495052,1.043232829326967e-177,-0.6902688977058523,4.062110070506202e-39
English,-0.29497298218609863,5.2951791518518244e-121,-0.6992999036343366,5.189088544320585e-43
Paite,-0.31236287893045106,2.0004166569633406e-267,-0.5344553191727773,1.1090852444090024e-20
Estonian,-0.33708055813044463,0.0,-0.6423152204200338,1.43070157050563e-27
Cebuano,-0.2432439014167716,1.5342183652644844e-150,-0.6483595616111449,1.2290306506747996e-32
Turkish,-0.33031515101764786,0.0,-0.6459294421120843,3.0750107791721037e-25
Wolaytta,-0.32012294518623224,0.0,-0.5769054992594191,1.8909366250091948e-21
Nahuatl,-0.2894096298605961,3.9115683860207706e-288,-0.6127635051532264,1.5155207029181218e-26
Dinka,-0.33302951117278123,3.1534009310869646e-152,-0.6574717539295826,8.992688562063015e-38
Jakalteko,-0.3483337037179556,0.0,-0.6077377104043238,1.845059861925041e-29
Cabecar,-0.3151443436034414,5.534476113054399e-181,-0.6274744055245544,2.830589107971286e-32
Slovak,-0.3061033802914907,0.0,-0.6907906507401164,4.346205592645206e-35
Slovene,-0.2915653208521629,7.483376593443449e-287,-0.7410857393421958,2.294611669161143e-42
Barasana,-0.30888068294454935,0.0,-0.573139581278686,3.7170764872702594e-27
Afrikaans,-0.307200072596756,3.376718778297948e-147,-0.6908442618458107,2.3499899776058456e-38
Portuguese,-0.3224305307909427,1.3719211134480834e-293,-0.6572550379412517,1.5427698699821463e-33
Swedish,-0.2920613104286942,1.126330984671243e-189,-0.6706231171110758,1.5208902936480559e-37
Uma,-0.3250793691855976,1.1774151898890697e-307,-0.5994699894392306,1.1052892704662652e-29
Aguaruna,-0.2724928523940861,0.0,-0.5422520877878373,3.956515542709993e-20
Wolof,-0.38158267030142085,1.8582562645101177e-245,-0.6248393781308547,1.362210083650007e-32
Camsa,-0.2857759972779507,0.0,-0.614838304334637,2.5397582223910133e-28
Swahili,-0.4066534590138566,0.0,-0.595131097738638,5.1254247173684814e-26
Romanian,-0.27765440035548217,6.973377242475203e-170,-0.6836981912590444,7.446562828147259e-38
Albanian,-0.27411037884279027,1.3557897873327024e-212,-0.6102071656844766,8.603195825248283e-27
Tagalog,-0.2752547557303168,1.366691178048217e-176,-0.5944924662647194,4.7836718092623873e-26
Malagasy,-0.2974093085952818,1.0940646220687799e-219,-0.6713146996317664,4.996805695391329e-35
Achuar,-0.2290304629332906,2.028910458651128e-223,-0.46655212144315245,4.710484145331451e-16
Croatian,-0.29548354702550644,0.0,-0.8020034012256914,1.0402567471740055e-52
Cakchiquel,-0.27867599644258784,2.0124818410946098e-147,-0.5024783838116647,2.936475898806233e-22
Creole,-0.2461209374073163,4.795803044085003e-43,-0.553031772163986,4.133578457480993e-27
K'iche',-0.28328895905498463,8.868505765660692e-130,-0.5871823292157912,3.157490088769217e-31
Hungarian,-0.27961688197806295,0.0,-0.6347415471881922,7.748997150708428e-24
Danish,-0.3173283638131667,3.7005775749068922e-208,-0.6934241526825727,2.591014887710867e-38
Uspanteco,-0.3140948947276946,5.76737086344244e-196,-0.45696439413275597,1.3206585778367014e-17
Spanish,-0.29799236414276853,1.2270710221185294e-229,-0.6425463582170019,1.9297978235801595e-31
Polish,-0.2513685615248058,1.349427504769185e-223,-0.7032636540568251,3.1148538435879874e-36
Lukpa,-0.3350569608603671,3.8745153863905555e-190,-0.5833842426984267,1.4349927333843225e-28
