,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Aukan random(geometric length),-0.6853130663175554,5.52690239149332e-07,-0.4352939626344423,0.0,-0.3343573112922411,0.00018968216720892115,-0.8647602815850888,4.254806719306341e-37,0.29177702312425513,0.0012229941848448133,8.610247857890887,3.956216310749398e-14,-0.6917851820723856,4.495828358880418e-37,-0.812301942728004,3.0778388580876655e-60,0.6635831005042896,3.130860365548904e-33,4.105906463689156,5.470946517879358e-05
Camsa random(geometric length),-0.46205558690930204,2.05824318308653e-05,-0.3270019646587917,0.0,-0.33605363840868346,0.0028076878940811105,-0.8518798541578888,9.20421126861197e-23,0.3687288015368735,0.0009677032687615035,6.940509013777873,1.2687079551728646e-09,-0.6637534838856719,2.107303386289972e-20,-0.8283678605895777,4.462112251491559e-39,0.606320595412471,1.9983453663279358e-16,4.113058119549259,6.473942349854016e-05
Albanian random(geometric length),-0.5798816428410006,1.9400071254541527e-05,-0.3970722897579133,0.0,-0.7569646408822199,2.2213287574100396e-17,-0.7971417504037257,2.5529138377036904e-20,0.8852456850316092,5.3807589175523144e-30,1.2910248151381727,0.20023683004675402,-0.6229654967236298,5.603996169686708e-20,-0.7883365200156033,6.512041505654079e-38,0.7382904302671541,4.6617083817699175e-31,4.806073013606453,3.366821496735477e-06
Latvian random(geometric length),-0.5412294272573258,1.9850165110075292e-05,-0.3654897929854759,0.0,-0.712378315157296,1.975842321607275e-11,-0.7913439942434374,2.6209535690962288e-15,0.7254636122292407,5.5844699648717254e-12,1.4392974919928556,0.15501658425261625,-0.634144148452392,1.2106148608101652e-15,-0.8387543495573555,8.47782883606678e-35,0.6320668288256558,1.5978464585570491e-15,4.8443077093969755,3.714000924938011e-06
Nahuatl random(geometric length),-0.5274102971688367,3.816179074238319e-06,-0.33536708279128996,0.0,-0.682051414395532,4.496857365161958e-12,-0.853931611164364,1.5165818394043853e-23,0.6247340023967113,7.595510966455671e-10,3.39528880963232,0.0010926627191700264,-0.6855111009698553,3.782569739512167e-22,-0.8040489832155857,3.0939732008148947e-35,0.686977930294496,2.8483494488581056e-22,3.134414037819435,0.002079437751464863
Amuzgo random(geometric length),-0.4953289676326951,2.0302127753609408e-05,-0.35275001671668016,0.0,-0.60380243758851,1.2016775684687589e-09,-0.8743980845581276,1.7644270436402152e-27,0.7175415209668464,1.597544812696291e-14,6.524110570770996,5.499755844333405e-09,-0.7257001474570748,6.131979739993456e-28,-0.8601596544423868,6.089055766121155e-49,0.819927023136156,7.598727226623565e-41,5.511819558929683,1.3945954698704426e-07
Danish random(geometric length),-0.5798816428410006,1.9400071254541527e-05,-0.4045444666462428,0.0,-0.7151438196398847,5.633368180915534e-16,-0.8328446208509269,2.30993903697217e-25,0.8666187934604702,1.5937930808991153e-29,3.910815552166182,0.00017699997390232427,-0.7055414635880823,9.180590727329656e-27,-0.8469972696632259,1.0798338054681965e-47,0.8244832888985623,3.787221495438807e-43,5.737354606972407,4.4548056381387974e-08
Shuar random(geometric length),-0.5108806247171069,3.8713922477645966e-06,-0.3350003657119117,0.0,-0.3356653468234448,0.008743969001641037,-0.8554235446858507,3.2451583894260153e-18,0.5952725493458655,5.262939164789752e-07,8.91797427613016,2.102448030721386e-12,-0.7204724934384253,3.011817071742604e-22,-0.8604182291841985,1.3844358405102656e-39,0.8361944939671906,1.85790871881279e-35,5.381978594650192,3.3938066752855464e-07
Q'eqchi' random(geometric length),-0.5982629455650744,3.5442946221355577e-06,-0.3816888543900116,0.0,-0.5533000968293823,1.6303485812049508e-09,-0.8083042490243342,9.666025964844544e-25,0.5076303342931048,5.1653507279083624e-08,4.287502484421805,4.201996091552438e-05,-0.6469901660908108,2.847845163854508e-24,-0.7738097593851962,9.853757206991587e-40,0.6147151646057734,1.9225824189984157e-21,3.2433044786301815,0.0013957714737445471
Swedish random(geometric length),-0.5595732051713176,1.9645254343007748e-05,-0.3925017059936086,0.0,-0.749192906609986,3.8097609152793795e-18,-0.7724045339892974,7.786950669658592e-20,0.9707675024499846,8.213518733215182e-59,1.4416264587250847,0.1528403551252369,-0.6103712522692326,1.2525377232838965e-18,-0.7998221324522917,7.33523725967244e-39,0.7612585304031189,3.0885914055636046e-33,5.821211299490139,2.942344526482002e-08
Romanian random(geometric length),-0.569460897942707,1.952839148100274e-05,-0.39136767243573795,0.0,-0.7028162873271082,2.301213178583101e-14,-0.8583843882406506,1.1711384040625112e-26,0.7732289234356847,1.0690962696103788e-18,4.113830945569728,8.95812592590595e-05,-0.6572866356319087,5.05295552638102e-22,-0.8214437389334021,4.290049245735079e-42,0.732924851657425,2.0982513866703218e-29,5.009040654131937,1.4029001073594353e-06
Galela random(geometric length),-0.6279034837774119,6.272900607724252e-07,-0.3867306704231913,0.0,-0.22481644709665555,0.019907265910663982,-0.8509344402278209,3.973931749357795e-31,0.365153414737984,0.0001100763469833768,10.18911476422074,2.5425759397879737e-17,-0.698920643351205,1.50262775039435e-32,-0.8281928232824158,5.759731947520209e-55,0.6874708993825734,3.838451471509165e-31,4.333437884216148,2.2755776088015242e-05
Icelandic random(geometric length),-0.6279585844668963,1.873148087927052e-05,-0.42463010222996317,0.0,-0.6749923475995852,1.601881189184673e-13,-0.7421635869373713,2.563516874118692e-17,0.8559355008603984,1.6212811927495794e-27,1.7676770303627654,0.0805422161752311,-0.5557540481802538,2.5043245655316134e-15,-0.7898589080399034,6.1666540938993e-38,0.6585221252127227,9.470979524634415e-23,5.8998680679511635,1.9351257278666648e-08
Akawaio random(geometric length),-0.5982629455650744,3.5442946221355577e-06,-0.39838563619784273,0.0,-0.602431220978149,1.3304708133636202e-10,-0.8753518429829594,8.682433182680162e-31,0.6166797324423778,3.648531505142276e-11,5.926692185326618,5.4609795329145166e-08,-0.6073978864752195,3.877529850203348e-20,-0.8082240984737918,3.502972075495252e-44,0.6777986708049362,2.28514886137955e-26,5.675760967585003,5.3291376329151165e-08
Basque random(geometric length),-0.5495058113433912,3.737763355803279e-06,-0.3439839853873292,0.0,-0.5131422217454228,2.00196913178985e-05,-0.9035740859378101,9.25627713151145e-24,0.47677842806099807,8.943432926856434e-05,6.253680250991271,4.886671253659223e-08,-0.7259594072174407,2.1776454275981848e-22,-0.8352997024029789,8.538504222878936e-35,0.6828446235595608,4.962043469962504e-19,2.9394495036339574,0.003912295302475337
